record_id,title,publisher,url,old_text_words,old_text_sha256,fresh_text_words,fresh_text_sha256,final_quality_status,quality_review_note,analysis_ready_from_quality_review,decision_provenance
DISC-MEDIA-0286,Marikana Were Tired Of Memorialising,Daily Maverick,https://www.dailymaverick.co.za/article/2021-08-17-marikana-were-tired-of-memorialising/,0,,0,,unresolved_missing_text,Targeted refetch still produced no usable article body.,false,targeted_quality_review_2026-08-24
DISC-MEDIA-0455,Lonmin Going All Out To Find Partners To Help It Address Pressing Accommodation Challenge,Engineering News,https://www.engineeringnews.co.za/article/lonmin-going-all-out-to-find-partners-to-help-it-address-pressing-accommodation-challenge-2017-04-07,264,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,264,8973bcea578d2ec08aa0a90209ac0b2097de6b0b1a91f46a2a29250ce3c2627c,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 3 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0477,Lonmin Plans To Cut 4 100 Workers As It Closes Platinum Mines,Engineering News,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-31,,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,264,8973bcea578d2ec08aa0a90209ac0b2097de6b0b1a91f46a2a29250ce3c2627c,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 3 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0546,Lrc Holding Saps And Lonmin Responsible For Deaths And Injuries Of Mineworkers,Engineering News,https://www.engineeringnews.co.za/article/lrc-holding-saps-and-lonmin-responsible-for-deaths-and-injuries-of-mineworkers-2014-11-14,264,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,264,8973bcea578d2ec08aa0a90209ac0b2097de6b0b1a91f46a2a29250ce3c2627c,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 3 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0554,Marikana Commission Cant Be Blamed For Fact That There Were No Prosecutions Judge Farlam,Engineering News,https://www.engineeringnews.co.za/article/marikana-commission-cant-be-blamed-for-fact-that-there-were-no-prosecutions-judge-farlam-2019-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,292,c8524b3b484a7a12c33b5204329d7f7cb49d41df46adaf8474f843f6b721ec13,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 7 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0556,Marikana Events Happened Under Our Watch Anc Admits,Engineering News,https://www.engineeringnews.co.za/article/marikana-events-happened-under-our-watch-anc-admits-2021-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,292,c8524b3b484a7a12c33b5204329d7f7cb49d41df46adaf8474f843f6b721ec13,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 7 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0559,Marikana Forced Saps To Correct Where It Went Wrong Bheki Cele,Engineering News,https://www.engineeringnews.co.za/article/marikana-forced-saps-to-correct-where-it-went-wrong-bheki-cele-2021-03-29,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,292,c8524b3b484a7a12c33b5204329d7f7cb49d41df46adaf8474f843f6b721ec13,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 7 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0566,Marikana Massacre As Anc Trumpets R170M Paid To Victims Families Calls For Justice Rage On,Engineering News,https://www.engineeringnews.co.za/article/marikana-massacre-as-anc-trumpets-r170m-paid-to-victims-families-calls-for-justice-rage-on-2023-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,292,c8524b3b484a7a12c33b5204329d7f7cb49d41df46adaf8474f843f6b721ec13,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 7 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0588,Never Again Can We Allow Such A Tragedy To Befall Our Nation Ramaphosa On Marikana Massacre,Engineering News,https://www.engineeringnews.co.za/article/never-again-can-we-allow-such-a-tragedy-to-befall-our-nation-ramaphosa-on-marikana-massacre-2019-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,292,c8524b3b484a7a12c33b5204329d7f7cb49d41df46adaf8474f843f6b721ec13,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 7 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0613,Ramaphosa Welcomes Court Judgment Says He Was Not The Cause Of Harmful Conduct In Marikana,Engineering News,https://www.engineeringnews.co.za/article/ramaphosa-welcomes-court-judgment-says-he-was-not-the-cause-of-harmful-conduct-in-marikana-2022-07-05,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,292,c8524b3b484a7a12c33b5204329d7f7cb49d41df46adaf8474f843f6b721ec13,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 7 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
DISC-MEDIA-0686,Why Have The Police Learned Nothing From Marikana,Engineering News,https://www.engineeringnews.co.za/article/why-have-the-police-learned-nothing-from-marikana-2013-08-16,292,6c1bdb39f06fd663acc15148e43c20fd924d2cbcae49d1ba99c86b56cfa3e15c,292,c8524b3b484a7a12c33b5204329d7f7cb49d41df46adaf8474f843f6b721ec13,persistent_extraction_hash_collision,"Fresh refetch still produced the identical payload/hash for 7 unrelated titles; this is extractor boilerplate/collision, not recovered article text.",false,targeted_quality_review_2026-08-24
