candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id,source_universe
SAT-EARLY-MEDIA-001,media,"Lonmin inks landmark BEE deals with traditional community",2014,"Mining Weekly",https://www.miningweekly.com/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,eligible_pending_acquisition,"Distinct pre-finalisation stage of the Bapo Ba Mogale/Lonmin empowerment transaction; directly concerns Marikana-adjacent community ownership, royalties and participation",SEARCH-MW-007,strict_documented
SAT-EARLY-MEDIA-002,media,"Missing millions from Lonmin fund prompts community pay reform",2016,"Mining Weekly / Bloomberg",https://www.miningweekly.com/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,eligible_pending_acquisition,"Direct Bapo Ba Mogale/Lonmin community-governance and royalty-fund accountability record relevant to stakeholder legitimacy and benefit sharing",SEARCH-MW-007,strict_documented
SAT-EARLY-MEDIA-005,media,"Bapo cancel protest march against Lonmin after reaching new employment deal",2015,"Mining Weekly / African News Agency",https://www.miningweekly.com/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,eligible_pending_acquisition,"Direct Bapo Ba Mogale/Lonmin employment and engagement agreement during planned Marikana job cuts; substantive community-company conflict resolution",SEARCH-MW-008,strict_documented
SAT-EARLY-MEDIA-006,media,"Power shift in unions could mean a difficult time ahead in SA platinum belt",2013,"Mining Weekly",https://www.miningweekly.com/article/power-shift-in-unions-could-mean-a-difficult-time-ahead-in-sa-platinum-belt-2013-06-28,eligible_pending_acquisition,"Substantive post-Marikana Lonmin union-power, informal-settlement housing, living-out allowance and community-infrastructure analysis",SEARCH-MW-YEARLY-2013,strict_documented
SAT-EARLY-MEDIA-007,media,"Lonmin artisan college forging ahead despite 2012 setbacks",2013,"Mining Weekly",https://www.miningweekly.com/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,eligible_pending_acquisition,"Direct Marikana-area employee/community skills-development record documenting disruption by the 2012 labour conflict and the community share of training places",SEARCH-MW-YEARLY-2013,strict_documented
SAT-EARLY-MEDIA-008,media,"HONOURING AGREEMENTS",2013,"Mining Weekly",https://www.miningweekly.com/article/honouring-agreements-2013-03-15,eligible_pending_acquisition,"Focused commentary on the Lonmin union-recognition dispensation, rank-and-file resistance and inclusive representation after Marikana",SEARCH-MW-YEARLY-2013,strict_documented
SAT-EARLY-MEDIA-011,media,"Marikana: NPA drops 'common purpose' charges, but critical questions remain",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-03-marikana-npa-drops-common-purpose-charges-but-critical-questions-remain/,eligible_pending_acquisition,"Direct legal/government accountability analysis concerning the detained Marikana miners and the NPA common-purpose prosecution decision",SEARCH-DM-YEARLY-2012,strict_documented
SAT-EARLY-MEDIA-012,media,"A tale of two worlds - Sun City and Marikana",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-03-a-tale-of-two-worlds-sun-city-and-marikana/,eligible_pending_acquisition,"Substantive contrast between platinum-industry transformation claims and the Marikana/Lonmin crisis, centred on mining governance and social responsibility",SEARCH-DM-YEARLY-2012,strict_documented
SAT-EARLY-MEDIA-014,media,"Lonmin miners return to work",2013,"Engineering News / Sapa",https://www.engineeringnews.co.za/article/lonmin-miners-return-to-work-2013-05-15,eligible_pending_acquisition,"Distinct outcome of the Marikana recognition dispute, recording AMCU's return-to-work instruction and the CCMA route for majority-union recognition",SEARCH-EN-YEARLY-2013,strict_documented
SAT-EARLY-MEDIA-015,media,"NUM Lonmin chairperson shot dead in Marikana",2013,"Engineering News / Reuters",https://www.engineeringnews.co.za/article/num-lonmin-chairperson-shot-dead-in-marikana-2013-10-18,eligible_pending_acquisition,"Direct post-2012 Marikana union-violence and labour-stability record involving NUM, AMCU rivalry and Lonmin operations",SEARCH-EN-YEARLY-2013,strict_documented
SAT-EARLY-MEDIA-016,media,"Some return to work, others strike",2014,"Engineering News / Sapa",https://www.engineeringnews.co.za/article/some-return-to-work-others-strike-2014-05-14,eligible_pending_acquisition,"Distinct return-to-work and intimidation stage of the 2014 platinum strike at Lonmin, including restructuring/job-loss implications",SEARCH-EN-YEARLY-2014,strict_documented
SAT-EARLY-MEDIA-018,media,"Platinum miner aims to complete housing project by 2014",2013,"Mining Weekly",https://www.miningweekly.com/article/platinum-miner-aims-to-complete-housing-project-by-2014-2013-03-29,eligible_pending_acquisition,"Marikana/Lonmin housing and community-obligation article centred on post-2012 living conditions, hostel conversion and delivery commitments",SEARCH-MEDIA-ZERO-VERIFY-1,strict_documented
EXCLUDE-SAT-EARLY-003,media,"Lonmin donates 50 ha of land for residential development",2013,"Mining Weekly",https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-11-08,exclude_republication_variant,"Later print/edition version of the already-screened 29 October 2013 Lonmin land-donation story; preserve as alternate publication URL but count one substantive story",SEARCH-MW-007,strict_documented
EXCLUDE-SAT-EARLY-004,media,"Lonmin inks landmark BEE deals with traditional community",2014,"Mining Weekly",https://www.miningweekly.com/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-08-08,exclude_republication_variant,"Later edition of the 30 July 2014 Bapo/Lonmin BEE story; canonical candidate is SAT-EARLY-MEDIA-001",SEARCH-MW-007,strict_documented
EXCLUDE-SAT-EARLY-009,media,"Platinum sector fundamentals ‘right’ – Magara",2013,"Mining Weekly",https://www.miningweekly.com/article/platinum-sector-fundamentals-right-magara-2013-04-19,exclude_incidental_scope,"Sector/leadership profile in which Marikana is background to Lonmin recovery rather than the central stakeholder-policy subject",SEARCH-MW-YEARLY-2013,strict_documented
EXCLUDE-SAT-EARLY-010,media,"Friedland’s fireside remarks potentially inflammatory to SA platinum mining",2013,"Mining Weekly",https://www.miningweekly.com/article/friedlands-fireside-remarks-potentially-inflammatory-to-sa-platinum-mining-2013-12-06,exclude_incidental_scope,"Broader platinum-sector wage commentary uses Marikana as contextual example; case is not sufficiently central under the strict source-family rule",SEARCH-MW-YEARLY-2013,strict_documented
EXCLUDE-SAT-EARLY-013,media,"FIVE MINUTES: South Africa",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-06-04-51ad2032f0a9e/,exclude_roundup,"Daily news round-up containing Marikana/Lonmin as one item; excluded prospectively by the media source-family rule in favour of substantive standalone stories",SEARCH-DM-YEARLY-2013,strict_documented
EXCLUDE-SAT-EARLY-017,media,"Lonmin closes BEE equity gap",2014,"Engineering News",https://www.engineeringnews.co.za/article/lonmin-closes-bee-equity-gap-2014-11-26,exclude_same_transaction_coverage,"Same Lonmin/Bapo/employee BEE transaction already represented by prospectively screened transaction and finalisation records; this Creamer Media companion article adds no distinct stakeholder event for the corpus",SEARCH-EN-YEARLY-2014,strict_documented
