candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id
EXP-MEDIA-045,media,"Volatility now plagues platinum miner's housing allocation",2016,"Mining Weekly",https://www.miningweekly.com/article/volatility-now-plagues-platinum-miners-housing-allocation-2016-02-05,eligible_pending_acquisition,"Direct Marikana housing-allocation conflict involving mineworkers and government",SEARCH-MW-003
EXP-MEDIA-046,media,"Lonmin committed to R500m expenditure on employee apartments",2017,"Mining Weekly",https://www.miningweekly.com/article/lonmin-committed-to-r500m-expenditure-on-employee-apartments-2017-04-07,eligible_pending_acquisition,"Detailed Marikana employee housing, indebtedness, AMCU and social-plan evidence",SEARCH-MW-003
EXP-MEDIA-047,media,"Violent protestors demand 1 500 new jobs from struggling Lonmin",2017,"Mining Weekly",https://www.miningweekly.com/article/violent-protestors-demand-1-500-new-jobs-from-struggling-lonmin-2017-05-11,eligible_pending_acquisition,"Direct Bapo Ba Mogale community employment conflict and Lonmin engagement",SEARCH-MW-003
EXP-MEDIA-048,media,"Review Mining Charter's proposed home ownership model",2017,"Mining Weekly",https://www.miningweekly.com/article/review-mining-charters-proposed-home-ownership-model-2017-02-10,eligible_pending_acquisition,"Direct Bench Marks analysis of Marikana housing tensions and worker preferences",SEARCH-MW-003
EXP-MEDIA-049,media,"POST MARIKANA MEASURES",2017,"Mining Weekly",https://www.miningweekly.com/article/post-marikana-measures-2017-01-27,eligible_pending_acquisition,"Focused corporate response record summarising Lonmin wage, housing, education and ownership measures after Marikana",SEARCH-MW-003
EXP-MEDIA-050,media,"Lonmin community wants operations suspended on social failings",2017,"Mining Weekly",https://www.miningweekly.com/article/lonmin-community-wants-operations-suspended-on-social-failings-2017-10-25,eligible_pending_acquisition,"Direct host-community request for regulatory action over Lonmin social-and-labour commitments",SEARCH-MW-003
EXP-MEDIA-051,media,"amaBhungane: 'War' looming over Marikana housing evictions",2016,"Daily Maverick",https://www.dailymaverick.co.za/article/2016-08-31-amabhungane-war-looming-over-marikana-housing-evictions/,eligible_pending_acquisition,"Direct Marikana housing dispute, mineworker/community grievances and Lonmin SLP obligations",SEARCH-DM-003
EXP-MEDIA-052,media,"Murder at Small Koppie: J'Accuse, Greg Marinovich's way",2016,"Daily Maverick",https://www.dailymaverick.co.za/article/2016-03-24-murder-at-small-koppie-jaccuse-greg-marinovichs-way/,eligible_pending_acquisition,"Substantive analysis of worker living conditions, unions, state and corporate responsibility centred on Marikana",SEARCH-DM-003
EXP-MEDIA-053,media,"What's mine is mine: How the Bapo Ba Mogale got robbed of R800 million",2016,"Daily Maverick",https://www.dailymaverick.co.za/article/2016-10-26-whats-mine-is-mine-how-the-bapo-ba-mogale-got-robbed-of-r800-million/,eligible_pending_acquisition,"Direct analysis of Bapo Ba Mogale, Lonmin equity/royalty governance and Marikana community relations",SEARCH-DM-003
EXP-MEDIA-054,media,"Marikana Massacre: Police absolve 87 of their own",2017,"Daily Maverick",https://www.dailymaverick.co.za/article/2017-03-15-marikana-massacre-police-absolve-87-of-their-own/,eligible_pending_acquisition,"Direct parliamentary/police implementation and accountability reporting after Farlam",SEARCH-DM-003
EXP-MEDIA-055,media,"Marikana Massacre: 'He is fine, let him die'",2017,"Daily Maverick",https://www.dailymaverick.co.za/article/2017-03-20-marikana-massacre-he-is-fine-let-him-die/,eligible_pending_acquisition,"Direct investigation of miner death, medical response and post-Commission accountability",SEARCH-DM-003
EXP-MEDIA-056,media,"Will there ever be accountability for the Marikana Massacre?",2018,"Daily Maverick",https://www.dailymaverick.co.za/article/2018-06-15-will-there-ever-be-accountability-for-the-marikana-massacre/,eligible_pending_acquisition,"Direct accountability, compensation and state-response analysis",SEARCH-DM-003
EXP-MEDIA-057,media,"The legacy of Marikana: Accountability urgent to prevent another atrocity",2018,"Daily Maverick",https://www.dailymaverick.co.za/article/2018-08-15-the-legacy-of-marikana-accountability-urgent-to-prevent-another-atrocity/,eligible_pending_acquisition,"Direct Marikana policing/accountability and prevention analysis",SEARCH-DM-003
EXP-MEDIA-058,media,"Marikana Massacre – IPID investigates massacred miners' deaths, and SAPS' lies, without the promised funding",2018,"Daily Maverick",https://www.dailymaverick.co.za/article/2018-08-30-marikana-massacre-ipid-investigates-massacred-miners-deaths-and-saps-lies-without-the-promised-funding/,eligible_pending_acquisition,"Direct Farlam implementation, IPID investigation and police-accountability reporting",SEARCH-DM-003
EXP-MEDIA-059,media,"SA still waiting for action on Farlam Commission findings",2019,"Daily Maverick",https://www.dailymaverick.co.za/article/2019-08-16-sa-still-waiting-for-action-on-farlam-commission-findings/,eligible_pending_acquisition,"Direct implementation-status assessment seven years after Marikana",SEARCH-DM-003
EXCLUDE-MEDIA-060,media,"Jhb shining example of a post mining city, govt assists communities in transitioning",2016,"Mining Weekly",https://www.miningweekly.com/article/jhb-shining-example-of-a-post-mining-city-govt-assists-communities-in-transitioning-2016-02-05,exclude_incidental_scope,"Marikana housing is only one example in a broader post-mining-city article; fails substantive case-centrality rule",SEARCH-MW-003
