cluster_id,normalised_title_year,cluster_size,all_text_sha256_equal,record_id,archive_queue,publisher,publication_date_from_url,retrieved_text_sha256,text_hash_status,title,url
MEDIA-TITLEYEAR-0001,amcu outdoes num demands 150 pay rise for entry level gold miners | 2013,2,false,SEC-MEDIA-0184,secondary_keyword,Engineering News,2013-06-25,a4444295e8b25dad35a61bff11f2da44c1e2d0071715608ed5bf7e28462aaa9c,valid_sha256,Amcu Outdoes Num Demands 150 Pay Rise For Entry Level Gold Miners,https://www.engineeringnews.co.za/article/amcu-outdoes-num-demands-150-pay-rise-for-entry-level-gold-miners-2013-06-25
MEDIA-TITLEYEAR-0001,amcu outdoes num demands 150 pay rise for entry level gold miners | 2013,2,false,SEC-MEDIA-0185,secondary_keyword,Engineering News,2013-07-05,ed5de97bd35df840ba3060a9999b9387eda3e36ad778bfc5213911037336c621,valid_sha256,Amcu Outdoes Num Demands 150 Pay Rise For Entry Level Gold Miners,https://www.engineeringnews.co.za/article/amcu-outdoes-num-demands-150-pay-rise-for-entry-level-gold-miners-2013-07-05
MEDIA-TITLEYEAR-0002,its business unusual at improving lonmin munroe | 2013,2,false,DISC-MEDIA-0412,title_trigger,Engineering News,2013-03-05,6042dc4ba15b93af7d0240131b96b7b1d6e4412c2b63e5faebfb902fc83401c9,valid_sha256,Its Business Unusual At Improving Lonmin Munroe,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-05
MEDIA-TITLEYEAR-0002,its business unusual at improving lonmin munroe | 2013,2,false,DISC-MEDIA-0413,title_trigger,Engineering News,2013-03-15,ffb49d257b8daddec1d9a03a0c45066ea9c771a0bd57f18400e88594d54fb862,valid_sha256,Its Business Unusual At Improving Lonmin Munroe,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15
MEDIA-TITLEYEAR-0003,labour court puts temporary hold on amcus planned gold strike | 2014,2,false,SEC-MEDIA-0389,secondary_keyword,Engineering News,2014-01-22,85fa8dc6a0d9abf6714888130e423ad7edf221caf78f2d62b99387df06f08236,valid_sha256,Labour Court Puts Temporary Hold On Amcus Planned Gold Strike,https://www.engineeringnews.co.za/article/labour-court-puts-temporary-hold-on-amcus-planned-gold-strike-2014-01-22
MEDIA-TITLEYEAR-0003,labour court puts temporary hold on amcus planned gold strike | 2014,2,false,SEC-MEDIA-0390,secondary_keyword,Engineering News,2014-01-31,ca965da08bd62d256d579b11eed61e75776813945a5f2fad228f0895c6a94972,valid_sha256,Labour Court Puts Temporary Hold On Amcus Planned Gold Strike,https://www.engineeringnews.co.za/article/labour-court-puts-temporary-hold-on-amcus-planned-gold-strike-2014-01-31
MEDIA-TITLEYEAR-0004,lonmin hands over new marikana primary school to basic education dept | 2018,2,false,DISC-MEDIA-0456,title_trigger,Engineering News,2018-03-23,b6088813afe9a5a62e7025421fddfbe7664f2bc07cee01033717d17ac59d4b7e,valid_sha256,Lonmin Hands Over New Marikana Primary School To Basic Education Dept,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-03-23
MEDIA-TITLEYEAR-0004,lonmin hands over new marikana primary school to basic education dept | 2018,2,false,DISC-MEDIA-0457,title_trigger,Engineering News,2018-04-06,732405582e86fb32437288606677f61dc2c4a3ffb6608274b255ca929e19bedb,valid_sha256,Lonmin Hands Over New Marikana Primary School To Basic Education Dept,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-04-06
MEDIA-TITLEYEAR-0005,lonmin inks landmark bee deals with traditional community | 2014,2,false,DISC-MEDIA-0459,title_trigger,Engineering News,2014-07-30,2b52a2f3771954cc9c0611a8c3969710cd78951799e379b6777994c8e36ea6df,valid_sha256,Lonmin Inks Landmark Bee Deals With Traditional Community,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30
MEDIA-TITLEYEAR-0005,lonmin inks landmark bee deals with traditional community | 2014,2,false,DISC-MEDIA-0460,title_trigger,Engineering News,2014-08-08,ac249da6eb8907a731cc494bd8bba38ff9d1a2ccabe4d53746951ae0936de30a,valid_sha256,Lonmin Inks Landmark Bee Deals With Traditional Community,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-08-08
