candidate_id,source_family,title,year,publisher,url,screening_status,decision_reason,search_id
EXP-MEDIA-001,media,"The murder fields of Marikana. The cold murder fields of Marikana.",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-08-the-murder-fields-of-marikana-the-cold-murder-fields-of-marikana/,eligible_pending_acquisition,"Direct investigative reporting on the Marikana killings and police conduct",SEARCH-DM-001
EXP-MEDIA-002,media,"Marikana's Small Koppie: 14 dead, 300 metres away from Wonderkop. Why?",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-08-marikanas-small-koppie-14-dead-300-metres-away-from-wonderkop-why/,eligible_pending_acquisition,"Direct investigation of Scene 2/Small Koppie and accountability",SEARCH-DM-001
EXP-MEDIA-003,media,"In Marikana, local government's failures in plain sight",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-10-in-marikana-local-governments-failures-in-plain-sight/,eligible_pending_acquisition,"Substantive local-government and community-services analysis in Wonderkop/Marikana",SEARCH-DM-001
EXP-MEDIA-004,media,"Unsafe House, Unsafe Job? The foul truth about living conditions at Marikana",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-27-unsafe-house-unsafe-job-the-foul-truth-about-living-conditions-at-marikana/,eligible_pending_acquisition,"Direct worker living-conditions and safety analysis linked to Bench Marks evidence",SEARCH-DM-001
EXP-MEDIA-005,media,"Friendship forged in the depths of the earth and strengthened by the horror of Marikana",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-26-friendship-forged-in-the-depths-of-the-earth-and-strengthened-by-the-horror-of-marikana/,eligible_pending_acquisition,"Direct worker testimony on labour and living conditions",SEARCH-DM-001
EXP-MEDIA-006,media,"Marikana: The debt-hole that fuelled the fire",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-10-12-marikana-the-debt-hole-that-fuelled-the-fire/,eligible_pending_acquisition,"Direct analysis of worker indebtedness as a Marikana conflict driver",SEARCH-DM-001
EXP-MEDIA-007,media,"Marikana: Police torturing their way to intimidation",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-11-02-marikana-police-torturing-their-way-to-intimidation/,eligible_pending_acquisition,"Direct post-massacre police/community accountability reporting",SEARCH-DM-001
EXP-MEDIA-008,media,"Marikana Commission: Sowing the killing fields",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-11-09-marikana-commission-sowing-the-killing-fields/,eligible_pending_acquisition,"Substantive Commission reporting on police, unions and Lonmin responsibility",SEARCH-DM-001
EXP-MEDIA-009,media,"Cyril Ramaphosa: The true betrayal",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-10-27-cyril-ramaphosa-the-true-betrayal/,eligible_pending_acquisition,"Direct governance/corporate-state analysis based on Marikana Commission emails",SEARCH-DM-001
EXP-MEDIA-010,media,"Marikana murders: The world now believes",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-10-marikana-murders-the-world-now-believes/,eligible_pending_acquisition,"Direct accountability analysis of the killings and mining unrest",SEARCH-DM-001
EXP-MEDIA-011,media,"Marikana, Malema, rebellion, revolution",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-09-12-marikana-malema-rebellion-revolution/,eligible_pending_acquisition,"Substantive political/governance analysis directly centred on Marikana unrest",SEARCH-DM-001
EXP-MEDIA-012,media,"Daily Maverick's SA Persons of the Year: The victims of Marikana",2012,"Daily Maverick",https://www.dailymaverick.co.za/article/2012-12-31-daily-mavericks-sa-persons-of-the-year-the-victims-of-marikana/,eligible_pending_acquisition,"Long-form retrospective centred on workers, living conditions, leadership and the 2012 conflict",SEARCH-DM-001
EXP-MEDIA-013,media,"Marikana Commission: Gung-ho Mangwashi Phiyega under scrutiny",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-01-24-marikana-commission-gung-ho-mangwashi-phiyega-under-scrutiny/,eligible_pending_acquisition,"Direct Commission/accountability reporting",SEARCH-DM-002
EXP-MEDIA-014,media,"Marikana Commission: Sangoma's death and Phiyega's understanding of truth",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-03-26-marikana-commission-sangomas-death-and-phiyegas-understanding-of-truth/,eligible_pending_acquisition,"Direct Commission/accountability reporting",SEARCH-DM-002
EXP-MEDIA-015,media,"The Marikana Commission, and skewed access to justice",2013,"Daily Maverick",https://www.dailymaverick.co.za/article/2013-08-15-the-marikana-commission-and-skewed-access-to-justice/,eligible_pending_acquisition,"Substantive analysis of legal representation and access to justice",SEARCH-DM-002
